Tarih,MusteriID,Tahmin,Olasilik,Süre,Sikayet,Aksiyon
2026-07-18 21:29:02,CUST-52438,Sadık Müşteri,%5.0,12.0 Ay,Evet,✅ Müşteri Sadık. VIP ayrıcalıkları ve özel tekliflerle bu bağı korumaya devam et.
2026-07-18 21:28:57,CUST-69604,Sadık Müşteri,%3.0,12.0 Ay,Hayır,✅ Müşteri Sadık. VIP ayrıcalıkları ve özel tekliflerle bu bağı korumaya devam et.
2026-07-18 21:28:50,CUST-45568,Sadık Müşteri,%2.0,12.0 Ay,Hayır,✅ Müşteri Sadık. VIP ayrıcalıkları ve özel tekliflerle bu bağı korumaya devam et.
2026-07-18 21:27:33,CUST-76136,Sadık Müşteri,%2.0,12.0 Ay,Hayır,✅ Müşteri Sadık. VIP ayrıcalıkları ve özel tekliflerle bu bağı korumaya devam et.
2026-07-18 21:23:12,CUST-75279,Sadık Müşteri,%14.0,12.0 Ay,Hayır,✅ Müşteri Sadık. VIP ayrıcalıkları ve özel tekliflerle bu bağı korumaya devam et.
2026-07-18 21:22:57,CUST-73260,Sadık Müşteri,%2.0,12.0 Ay,Hayır,✅ Müşteri Sadık. VIP ayrıcalıkları ve özel tekliflerle bu bağı korumaya devam et.
2026-07-18 21:22:48,CUST-65477,Sadık Müşteri,%2.0,12.0 Ay,Hayır,✅ Müşteri Sadık. VIP ayrıcalıkları ve özel tekliflerle bu bağı korumaya devam et.
2026-07-18 21:18:32,CUST-30977,Sadık Müşteri,%2.0,12.0 Ay,Hayır,✅ Müşteri Sadık. VIP ayrıcalıkları ve özel tekliflerle bu bağı korumaya devam et.
2026-07-18 21:17:39,CUST-79101,Sadık Müşteri,%2.0,12.0 Ay,Hayır,✅ Müşteri Sadık. VIP ayrıcalıkları ve özel tekliflerle bu bağı korumaya devam et.
2026-07-18 21:16:13,CUST-71247,Sadık Müşteri,%5.0,31.19 Ay,Hayır,✅ Müşteri Sadık. VIP ayrıcalıkları ve özel tekliflerle bu bağı korumaya devam et.
